,system,n,mean,std,var
0,Wukong-DC,100,0.8909129619598388,0.08747988905756116,0.00805550630476127
1,Wukong-Std,100,1.6523450136184692,0.16645447478681177,0.029165360185845635
2,Wukong-DC,250,1.2729493261,0.16210386568978608,0.027660698180602322
3,Wukong-Std,250,1.6327620148658752,0.23045882244053312,0.05590659877966018
4,Wukong-DC,500,1.742180892391815,0.1664924221166679,0.02917865960239445
5,Wukong-Std,500,1.564693319797516,0.13657904677623459,0.01963561686137355
6,Wukong-DC,1000,2.66329981085,0.3711453384658819,0.14499880238416216
7,Wukong-Std,1000,1.6011767029762267,0.224303761005826,0.05296018652774601
8,Wukong-DC,2048,3.8614400029182434,0.22654764397400054,0.054025089463337374
9,Wukong-Std,2048,2.4349183320999144,3.3678539964373324,11.93941109612517
10,Wukong-DC,4096,6.476192128599999,0.3417545237635545,0.12294332053984623
11,Wukong-Std,4096,1.6735440969467164,0.26367617153727035,0.07318434045952843
12,Wukong-DC,8192,11.218793416023255,0.39637459192739266,0.16538191276379688
13,Wukong-Std,8192,1.739263653755188,0.09056885131465138,0.00863443876679519
