,time,cost,num_lambdas,aggregate_duration,min_duration,max_duration,avg_duration
0,6.566852808,1.29E-09,32,18.39685035,0.118294716,3.093021631,0.574901573
1,4.677051783,1.15E-09,32,16.42580867,0.091980457,2.754158974,0.513306521
2,4.381213188,1.14E-09,32,16.23616529,0.116034746,2.592854261,0.507380165
3,4.667049408,1.16E-09,32,16.53200364,0.123090744,2.878605843,0.516625114
4,4.982153416,1.20E-09,32,17.09625745,0.093918324,2.798243999,0.534258045
5,4.636772156,1.14E-09,32,16.31884551,0.085231543,2.763049126,0.509963922
6,4.518070221,1.14E-09,32,16.29075098,0.122178078,2.723816872,0.509085968
7,5.099146605,1.19E-09,32,17.01889706,0.097836971,2.622946262,0.531840533
8,4.637219667,1.15E-09,32,16.4857583,0.102997065,2.71164608,0.515179947
9,5.109148979,1.21E-09,32,17.24778509,0.119105339,3.388200283,0.538993284
10,4.509294748,1.13E-09,32,16.19870663,0.116357803,2.575667143,0.506209582
11,4.893002033,1.18E-09,32,16.78620839,0.103945017,3.199155092,0.524569012
12,4.597901106,1.15E-09,32,16.48115087,0.101310253,2.843936682,0.515035965
13,4.434997797,1.12E-09,32,16.05815434,0.108097553,2.727800846,0.501817323
14,4.874095917,1.18E-09,32,16.89281917,0.084562063,3.16300869,0.527900599
15,4.470004797,1.15E-09,32,16.44894552,0.109488249,2.712352037,0.514029548
16,5.208171129,1.19E-09,32,16.9581852,0.101295233,3.308047771,0.529943287
17,4.449753523,1.12E-09,32,15.94415617,0.112360477,2.585829735,0.49825488
18,4.874095678,1.17E-09,32,16.66475368,0.10086894,3.04263258,0.520773552
19,4.420994043,1.15E-09,32,16.37348747,0.103114367,2.644637823,0.511671484
,4.80034945,1.16499E-09,32,16.64278449,0.105603397,2.856480587,0.520087015
