,time,cost,num_lambdas,aggregate_duration,min_duration,max_duration,avg_duration,,,,Try 10ms,Try 120ms,No-Try 10ms,No-Try 120ms
0,0.825098276,3.86E-06,3,0.920175552,0.10845089,0.68585825,0.306725184,,,Cost,2.75E-06,3.92E-06,3.81E-06,5.93E-06
1,0.86307168,3.89E-06,3,0.926673174,0.092643023,0.725786209,0.308891058,,,AggDur,0.6538,0.9336,0.9072,1.4125
2,0.803335667,3.65E-06,3,0.868975639,0.099733353,0.663574934,0.289658546,,,,,,,
3,0.863939524,3.95E-06,3,0.939632177,0.104066849,0.731001616,0.313210726,,,,,,,
4,0.893149614,3.70E-06,3,0.880339146,0.101412296,0.66481638,0.293446382,,,,,,,
5,0.765182257,3.60E-06,3,0.857928038,0.100989819,0.64631176,0.285976013,,,,,,,
6,0.824482203,3.80E-06,3,0.904087067,0.113024235,0.67778182,0.301362356,,,,,,,
7,1.012200356,4.05E-06,3,0.96380496,0.104560137,0.746198893,0.32126832,,,,,,,
8,0.79352951,3.58E-06,3,0.851328135,0.100832939,0.64471817,0.283776045,,,,,,,
9,0.92215848,4.16E-06,3,0.989568949,0.105623484,0.777529716,0.329856316,,,,,,,
10,0.777402401,3.62E-06,3,0.861940145,0.102407694,0.655199766,0.287313382,,,,,,,
11,0.832137823,3.79E-06,3,0.902832985,0.092847109,0.706524134,0.300944328,,,,,,,
12,0.853460789,4.06E-06,3,0.965780497,0.117529154,0.722282648,0.321926832,,,,,,,
13,0.942225456,3.94E-06,3,0.938348293,0.101969957,0.716876268,0.312782764,,,,,,,
14,0.793246269,3.52E-06,3,0.837169886,0.091516733,0.630651474,0.279056629,,,,,,,
AVG,0.850974687,3.8104E-06,3,0.907238976,0.102507178,0.693007469,0.302412992,,,,,,,
