,time,cost,num_lambdas,aggregate_duration,min_duration,max_duration,avg_duration,,
0,2.496148586,3.35E-06,5,0.797709227,0.078279734,0.279261827,0.159541845,,
1,1.042735577,2.60E-06,5,0.619186163,0.094713688,0.163162231,0.123837233,,
2,1.217769861,2.87E-06,5,0.682851553,0.086569786,0.210799932,0.136570311,,
3,1.230926037,2.58E-06,5,0.614172459,0.092547894,0.162893772,0.122834492,,
4,1.048707485,2.64E-06,5,0.62788415,0.091596365,0.189392567,0.12557683,,
5,1.125570536,2.61E-06,5,0.620289326,0.088212252,0.195859671,0.124057865,,
6,1.187961578,2.57E-06,5,0.611870527,0.090651035,0.189433098,0.122374105,,
7,1.115020752,2.59E-06,5,0.617648125,0.085205078,0.16394949,0.123529625,,
8,1.035656214,2.67E-06,5,0.636323929,0.090610981,0.188932896,0.127264786,,
9,1.215678215,2.62E-06,5,0.623939514,0.088406324,0.158531189,0.124787903,,
10,1.128159761,2.86E-06,5,0.680211544,0.095734596,0.185865641,0.136042309,,
11,1.113182545,2.74E-06,5,0.652723551,0.097353935,0.19476819,0.13054471,,
12,1.077916384,2.73E-06,5,0.650357485,0.092547894,0.182561159,0.130071497,,
13,1.066231251,2.99E-06,5,0.712539434,0.086664677,0.205256224,0.142507887,,
14,1.125081062,2.77E-06,5,0.658607721,0.099239349,0.173721552,0.131721544,,
AVG,1.21511639,2.74577E-06,5,0.653754314,0.090555573,0.189625963,0.130750863,,
