,time,cost,num_lambdas,aggregate_duration,min_duration,max_duration,avg_duration
0,1.689190865,3.86E-06,5,0.918992043,0.097929239,0.240856171,0.183798409
1,1.377369404,3.83E-06,5,0.912690639,0.09527564,0.219046354,0.182538128
2,1.454268932,3.98E-06,5,0.947594404,0.123743773,0.229063749,0.189518881
3,1.427072287,3.80E-06,5,0.904188395,0.112071276,0.233374834,0.180837679
4,1.35475421,3.87E-06,5,0.922170639,0.10129571,0.225297213,0.184434128
5,1.602221251,3.93E-06,5,0.936285973,0.098370314,0.246655703,0.187257195
6,1.387396812,4.11E-06,5,0.979448795,0.112508297,0.264003992,0.195889759
7,1.364362955,3.60E-06,5,0.856213331,0.097824574,0.218220472,0.171242666
8,1.316702843,3.56E-06,5,0.847225428,0.09321475,0.215378523,0.169445086
9,1.24319315,3.53E-06,5,0.841404915,0.09512496,0.214447737,0.168280983
10,3.398334026,4.61E-06,5,1.098258495,0.097321272,0.316525459,0.219651699
11,1.413172007,4.09E-06,5,0.972855091,0.095091581,0.255723476,0.194571018
12,1.574547768,4.24E-06,5,1.008770704,0.110884666,0.255251884,0.201754141
13,1.420414209,3.87E-06,5,0.921067953,0.113498211,0.224769592,0.184213591
14,1.535832167,3.93E-06,5,0.936684132,0.101103783,0.239407539,0.187336826
AVG,1.570588859,3.92E-06,5,0.933590062,0.103017203,0.23986818,0.186718012
